Confraternização Universal,Sexta-feira Santa,Tiradentes,Dia do Trabalhador,Independência do Brasil,Finados,Proclamação da República,Natal,Consciência Negra,Nossa Senhora Aparecida,Páscoa,Carnaval,Corpus Christi,Pré Carnaval
2048-01-01,2048-04-03,2048-04-21,2048-05-01,2048-09-07,2048-11-02,2048-11-15,2048-12-25,2048-11-20,2048-10-12,1951-03-25,1951-02-06,1951-05-24,1951-02-05
2049-01-01,2049-04-16,2049-04-21,2049-05-01,2049-09-07,2049-11-02,2049-11-15,2049-12-25,2049-11-20,2049-10-12,1952-04-13,1952-02-26,1952-06-12,1952-02-25
2050-01-01,2050-04-08,2050-04-21,2050-05-01,2050-09-07,2050-11-02,2050-11-15,2050-12-25,2050-11-20,2050-10-12,1953-04-05,1953-02-17,1953-06-04,1953-02-16
2051-01-01,2051-03-31,2051-04-21,2051-05-01,2051-09-07,2051-11-02,2051-11-15,2051-12-25,2051-11-20,2051-10-12,1954-04-18,1954-03-02,1954-06-17,1954-03-01
2052-01-01,2052-04-19,2052-04-21,2052-05-01,2052-09-07,2052-11-02,2052-11-15,2052-12-25,2052-11-20,2052-10-12,1955-04-10,1955-02-22,1955-06-09,1955-02-21
2053-01-01,2053-04-04,2053-04-21,2053-05-01,2053-09-07,2053-11-02,2053-11-15,2053-12-25,2053-11-20,2053-10-12,1956-04-01,1956-02-14,1956-05-31,1956-02-13
2054-01-01,2054-03-27,2054-04-21,2054-05-01,2054-09-07,2054-11-02,2054-11-15,2054-12-25,2054-11-20,2054-10-12,1957-04-21,1957-03-05,1957-06-20,1957-03-04
2055-01-01,2055-04-16,2055-04-21,2055-05-01,2055-09-07,2055-11-02,2055-11-15,2055-12-25,2055-11-20,2055-10-12,1958-04-06,1958-02-18,1958-06-05,1958-02-17
2056-01-01,2056-03-31,2056-04-21,2056-05-01,2056-09-07,2056-11-02,2056-11-15,2056-12-25,2056-11-20,2056-10-12,1959-03-29,1959-02-10,1959-05-28,1959-02-09
2057-01-01,2057-04-20,2057-04-21,2057-05-01,2057-09-07,2057-11-02,2057-11-15,2057-12-25,2057-11-20,2057-10-12,1960-04-17,1960-03-01,1960-06-16,1960-02-29
2058-01-01,2058-04-12,2058-04-21,2058-05-01,2058-09-07,2058-11-02,2058-11-15,2058-12-25,2058-11-20,2058-10-12,1961-04-02,1961-02-14,1961-06-01,1961-02-13
2059-01-01,2059-03-28,2059-04-21,2059-05-01,2059-09-07,2059-11-02,2059-11-15,2059-12-25,2059-11-20,2059-10-12,1962-04-22,1962-03-06,1962-06-21,1962-03-05
2060-01-01,2060-04-16,2060-04-21,2060-05-01,2060-09-07,2060-11-02,2060-11-15,2060-12-25,2060-11-20,2060-10-12,1963-04-14,1963-02-26,1963-06-13,1963-02-25
2061-01-01,2061-04-08,2061-04-21,2061-05-01,2061-09-07,2061-11-02,2061-11-15,2061-12-25,2061-11-20,2061-10-12,1964-03-29,1964-02-11,1964-05-28,1964-02-10
2062-01-01,2062-03-24,2062-04-21,2062-05-01,2062-09-07,2062-11-02,2062-11-15,2062-12-25,2062-11-20,2062-10-12,1965-04-18,1965-03-02,1965-06-17,1965-03-01
2063-01-01,2063-04-13,2063-04-21,2063-05-01,2063-09-07,2063-11-02,2063-11-15,2063-12-25,2063-11-20,2063-10-12,1966-04-10,1966-02-22,1966-06-09,1966-02-21
2064-01-01,2064-04-04,2064-04-21,2064-05-01,2064-09-07,2064-11-02,2064-11-15,2064-12-25,2064-11-20,2064-10-12,1967-03-26,1967-02-07,1967-05-25,1967-02-06
2065-01-01,2065-03-27,2065-04-21,2065-05-01,2065-09-07,2065-11-02,2065-11-15,2065-12-25,2065-11-20,2065-10-12,1968-04-14,1968-02-27,1968-06-13,1968-02-26
2066-01-01,2066-04-09,2066-04-21,2066-05-01,2066-09-07,2066-11-02,2066-11-15,2066-12-25,2066-11-20,2066-10-12,1969-04-06,1969-02-18,1969-06-05,1969-02-17
2067-01-01,2067-04-01,2067-04-21,2067-05-01,2067-09-07,2067-11-02,2067-11-15,2067-12-25,2067-11-20,2067-10-12,1970-03-29,1970-02-10,1970-05-28,1970-02-09
2068-01-01,2068-04-20,2068-04-21,2068-05-01,2068-09-07,2068-11-02,2068-11-15,2068-12-25,2068-11-20,2068-10-12,1971-04-11,1971-02-23,1971-06-10,1971-02-22
2069-01-01,2069-04-12,2069-04-21,2069-05-01,2069-09-07,2069-11-02,2069-11-15,2069-12-25,2069-11-20,2069-10-12,1972-04-02,1972-02-15,1972-06-01,1972-02-14
2070-01-01,2070-03-28,2070-04-21,2070-05-01,2070-09-07,2070-11-02,2070-11-15,2070-12-25,2070-11-20,2070-10-12,1973-04-22,1973-03-06,1973-06-21,1973-03-05
2071-01-01,2071-04-17,2071-04-21,2071-05-01,2071-09-07,2071-11-02,2071-11-15,2071-12-25,2071-11-20,2071-10-12,1974-04-14,1974-02-26,1974-06-13,1974-02-25
2072-01-01,2072-04-08,2072-04-21,2072-05-01,2072-09-07,2072-11-02,2072-11-15,2072-12-25,2072-11-20,2072-10-12,1975-03-30,1975-02-11,1975-05-29,1975-02-10
2073-01-01,2073-03-24,2073-04-21,2073-05-01,2073-09-07,2073-11-02,2073-11-15,2073-12-25,2073-11-20,2073-10-12,1976-04-18,1976-03-02,1976-06-17,1976-03-01
2074-01-01,2074-04-13,2074-04-21,2074-05-01,2074-09-07,2074-11-02,2074-11-15,2074-12-25,2074-11-20,2074-10-12,1977-04-10,1977-02-22,1977-06-09,1977-02-21
2075-01-01,2075-04-05,2075-04-21,2075-05-01,2075-09-07,2075-11-02,2075-11-15,2075-12-25,2075-11-20,2075-10-12,1978-03-26,1978-02-07,1978-05-25,1978-02-06
2076-01-01,2076-04-17,2076-04-21,2076-05-01,2076-09-07,2076-11-02,2076-11-15,2076-12-25,2076-11-20,2076-10-12,1979-04-15,1979-02-27,1979-06-14,1979-02-26
2077-01-01,2077-04-09,2077-04-21,2077-05-01,2077-09-07,2077-11-02,2077-11-15,2077-12-25,2077-11-20,2077-10-12,1980-04-06,1980-02-19,1980-06-05,1980-02-18
2078-01-01,2078-04-01,2078-04-21,2078-05-01,2078-09-07,2078-11-02,2078-11-15,2078-12-25,2078-11-20,2078-10-12,1981-04-19,1981-03-03,1981-06-18,1981-03-02
1951-01-01,1951-03-23,1951-04-21,1951-05-01,1951-09-07,1951-11-02,1951-11-15,1951-12-25,2024-11-20,1980-10-12,1982-04-11,1982-02-23,1982-06-10,1982-02-22
1952-01-01,1952-04-11,1952-04-21,1952-05-01,1952-09-07,1952-11-02,1952-11-15,1952-12-25,2025-11-20,1981-10-12,1983-04-03,1983-02-15,1983-06-02,1983-02-14
1953-01-01,1953-04-03,1953-04-21,1953-05-01,1953-09-07,1953-11-02,1953-11-15,1953-12-25,2026-11-20,1982-10-12,1984-04-22,1984-03-06,1984-06-21,1984-03-05
1954-01-01,1954-04-16,1954-04-21,1954-05-01,1954-09-07,1954-11-02,1954-11-15,1954-12-25,2027-11-20,1983-10-12,1985-04-07,1985-02-19,1985-06-06,1985-02-18
1955-01-01,1955-04-08,1955-04-21,1955-05-01,1955-09-07,1955-11-02,1955-11-15,1955-12-25,2028-11-20,1984-10-12,1986-03-30,1986-02-11,1986-05-29,1986-02-10
1956-01-01,1956-03-30,1956-04-21,1956-05-01,1956-09-07,1956-11-02,1956-11-15,1956-12-25,2029-11-20,1985-10-12,1987-04-19,1987-03-03,1987-06-18,1987-03-02
1957-01-01,1957-04-19,1957-04-21,1957-05-01,1957-09-07,1957-11-02,1957-11-15,1957-12-25,2030-11-20,1986-10-12,1988-04-03,1988-02-16,1988-06-02,1988-02-15
1958-01-01,1958-04-04,1958-04-21,1958-05-01,1958-09-07,1958-11-02,1958-11-15,1958-12-25,2031-11-20,1987-10-12,1989-03-26,1989-02-07,1989-05-25,1989-02-06
