;periodo_mes;selic_acumulada_mes;meta_acumulada_mes;ano;mes;mes_num;ipca_numero_indice;ipca_var_mensal;ipca_acumulado_ano;decada;periodo_timeformat
0;1996-07;1.9109617244390087;;1996;JUL;7;1340.56;1.11;14.84;1990;1996-07-01
1;1996-08;1.9496403831262832;;1996;AGO;8;1346.46;0.44;14.21;1990;1996-08-01
2;1996-09;1.8870009805805887;;1996;SET;9;1348.48;0.15;13.26;1990;1996-09-01
3;1996-10;1.9257689844293768;;1996;OUT;10;1352.53;0.3;12.02;1990;1996-10-01
4;1996-11;1.7889045035430762;;1996;NOV;11;1356.86;0.32;10.75;1990;1996-11-01
5;1996-12;1.7893234678718173;;1996;DEZ;12;1363.24;0.47;9.56;1990;1996-12-01
6;1997-01;1.7173272331979739;;1997;JAN;1;1379.33;1.18;9.39;1990;1997-01-01
7;1997-02;1.6594946174986358;;1997;FEV;2;1386.23;0.5;8.82;1990;1997-02-01
8;1997-03;1.715005392006752;;1997;MAR;3;1393.3;0.51;8.99;1990;1997-03-01
9;1997-04;1.6467997198377438;;1997;ABR;4;1405.56;0.88;8.58;1990;1997-04-01
10;1997-05;1.572942670099664;;1997;MAI;5;1411.32;0.41;7.71;1990;1997-05-01
11;1997-06;1.59461594030601;;1997;JUN;6;1418.94;0.54;7.02;1990;1997-06-01
12;1997-07;1.5912866743077458;;1997;JUL;7;1422.06;0.22;6.08;1990;1997-07-01
13;1997-08;1.5739272169065677;;1997;AGO;8;1421.78;-0.02;5.59;1990;1997-08-01
14;1997-09;1.5784283896461027;;1997;SET;9;1422.63;0.06;5.5;1990;1997-09-01
15;1997-10;1.6722208645499004;;1997;OUT;10;1425.9;0.23;5.42;1990;1997-10-01
16;1997-11;2.987734208363957;;1997;NOV;11;1428.32;0.17;5.27;1990;1997-11-01
17;1997-12;2.9312968001304895;;1997;DEZ;12;1434.46;0.43;5.22;1990;1997-12-01
18;1998-01;2.6345079531823634;;1998;JAN;1;1444.64;0.71;4.73;1990;1998-01-01
19;1998-02;2.1023770950201914;;1998;FEV;2;1451.29;0.46;4.69;1990;1998-02-01
20;1998-03;2.1836083855093946;;1998;MAR;3;1456.22;0.34;4.52;1990;1998-03-01
21;1998-04;1.7918336927842393;;1998;ABR;4;1459.71;0.24;3.85;1990;1998-04-01
22;1998-05;1.6100611021659272;;1998;MAI;5;1467.01;0.5;3.95;1990;1998-05-01
23;1998-06;1.5946876886366868;;1998;JUN;6;1467.3;0.02;3.41;1990;1998-06-01
24;1998-07;1.6908830038169675;;1998;JUL;7;1465.54;-0.12;3.06;1990;1998-07-01
25;1998-08;1.4676121225398076;;1998;AGO;8;1458.07;-0.51;2.55;1990;1998-08-01
26;1998-09;2.468169844726864;;1998;SET;9;1454.86;-0.22;2.27;1990;1998-09-01
27;1998-10;2.9039156317452353;;1998;OUT;10;1455.15;0.02;2.05;1990;1998-10-01
28;1998-11;2.523476614576037;;1998;NOV;11;1453.4;-0.12;1.76;1990;1998-11-01
29;1998-12;2.444904990263419;;1998;DEZ;12;1458.2;0.33;1.65;1990;1998-12-01
30;1999-01;2.2530928150232388;;1999;JAN;1;1468.41;0.7;1.65;1990;1999-01-01
31;1999-02;2.267780344535053;;1999;FEV;2;1483.83;1.05;2.24;1990;1999-02-01
32;1999-03;3.2634691555219364;2.761996598722738;1999;MAR;3;1500.15;1.1;3.02;1990;1999-03-01
33;1999-04;2.4656337935567985;2.470130467108067;1999;ABR;4;1508.55;0.56;3.35;1990;1999-04-01
34;1999-05;1.998572900149842;2.003881031997956;1999;MAI;5;1513.08;0.3;3.14;1990;1999-05-01
35;1999-06;1.658579356841905;1.6656674601877253;1999;JUN;6;1515.95;0.19;3.32;1990;1999-06-01
36;1999-07;1.647053868156112;1.6548681756352934;1999;JUL;7;1532.47;1.09;4.57;1990;1999-07-01
37;1999-08;1.5565253724660888;1.5557943290814613;1999;AGO;8;1541.05;0.56;5.69;1990;1999-08-01
38;1999-09;1.4762502040066794;1.4750863848641327;1999;SET;9;1545.83;0.31;6.25;1990;1999-09-01
