ano	decada	meta_selic_ano	selic_acumulada_ano	ipca_acumulado_ano
1996	1990		11.9035649790024	9.56
1997	1990		24.89524647906556	5.22
1998	1990		28.920266668187878	1.65
1999	1990	19.637240952000813	25.753424812571367	8.94
2000	2000	17.453365573956468	17.43338430997332	5.97
2001	2000	17.296520672541682	17.318706623827552	7.67
2002	2000	19.274107888744464	19.17335652713108	12.53
2003	2000	23.52407352974368	23.34352126268209	9.3
2004	2000	16.38295769786342	16.24768098080931	7.6
2005	2000	19.056967758640187	19.049201863928932	5.69
2006	2000	15.124625907644319	15.076754511314228	3.14
2007	2000	11.94456191317046	11.875845301343135	4.46
2008	2000	12.569731931464068	12.482551650031759	5.9
2009	2000	10.023510568636041	9.929786138696972	4.31
2010	2010	9.871588245416675	9.77765386317968	5.91
2011	2010	11.707562305507135	11.62079750824847	6.5
2012	2010	8.597748755216173	8.492290808988766	5.84
2013	2010	8.32742808371416	8.223748588150448	5.91
2014	2010	11.004735497284246	10.904296916397115	6.41
2015	2010	13.367115504132121	13.268005663135396	10.67
2016	2010	14.118123537974704	14.018572491798764	6.29
2017	2010	10.038064630108035	9.939351543230512	2.95
2018	2010	6.5279662639005975	6.4288096023658925	3.75
2019	2010	6.060304602826694	5.959882798512295	4.31
2020	2020	2.8574121362766824	2.757815556530785	4.52
2021	2020	4.523234660471731	4.423627023978449	10.06
2022	2020	12.490585646008201	12.391020552420251	5.79
2023	2020	13.138139614699696	13.039474921183025	4.62
2024	2020	10.976377759232703	10.87593877036297	4.83
