periodo_mes	selic_acumulada_mes	meta_acumulada_mes	mes	ano	ipca_no_ano	ipca_var_mensal	decada	periodo_timeformat
1996-07	1.9285287332209577		JUL	1996	7.74	1.11	1990	1996-07-01
1996-08	1.9678896186422712		AGO	1996	8.22	0.44	1990	1996-08-01
1996-09	1.9040539286274027		SET	1996	8.38	0.15	1990	1996-09-01
1996-10	1.943610093077086		OUT	1996	8.7	0.3	1990	1996-10-01
1996-11	1.8952462294683947		NOV	1996	9.05	0.32	1990	1996-11-01
1996-12	1.8913956949330846		DEZ	1996	9.56	0.47	1990	1996-12-01
1997-01	1.8108884698309957		JAN	1997	1.18	1.18	1990	1997-01-01
1997-02	1.672563416687245		FEV	1997	1.69	0.5	1990	1997-02-01
1997-03	1.8162813751282147		MAR	1997	2.21	0.51	1990	1997-03-01
1997-04	1.7394987455055855		ABR	1997	3.1	0.88	1990	1997-04-01
1997-05	1.6646440129875595		MAI	1997	3.53	0.41	1990	1997-05-01
1997-06	1.606782943263818		JUN	1997	4.09	0.54	1990	1997-06-01
1997-07	1.6034560189993607		JUL	1997	4.31	0.22	1990	1997-07-01
1997-08	1.5857798147757451		AGO	1997	4.29	-0.02	1990	1997-08-01
1997-09	1.5903764051644176		SET	1997	4.36	0.06	1990	1997-09-01
1997-10	1.6856316992016618		OUT	1997	4.6	0.23	1990	1997-10-01
1997-11	3.0305178224343754		NOV	1997	4.77	0.17	1990	1997-11-01
1997-12	3.10987463343404		DEZ	1997	5.22	0.43	1990	1997-12-01
1998-01	2.804617211895555		JAN	1998	0.71	0.71	1990	1998-01-01
1998-02	2.123379857065233		FEV	1998	1.17	0.46	1990	1998-02-01
1998-03	2.206511287468671		MAR	1998	1.52	0.34	1990	1998-03-01
1998-04	1.9896645662067725		ABR	1998	1.76	0.24	1990	1998-04-01
1998-05	1.706473528303154		MAI	1998	2.27	0.5	1990	1998-05-01
1998-06	1.606855681212438		JUN	1998	2.29	0.02	1990	1998-06-01
1998-07	1.7046273710649595		JUL	1998	2.17	-0.12	1990	1998-07-01
1998-08	1.4779142595653605		AGO	1998	1.65	-0.51	1990	1998-08-01
1998-09	2.58972699185982		SET	1998	1.42	-0.22	1990	1998-09-01
1998-10	3.088116734280888		OUT	1998	1.44	0.02	1990	1998-10-01
1998-11	2.6970915509913596		NOV	1998	1.32	-0.12	1990	1998-11-01
1998-12	2.577901001614147		DEZ	1998	1.65	0.33	1990	1998-12-01
1999-01	2.381417576852507		JAN	1999	0.7	0.7	1990	1999-01-01
1999-02	2.292229876695817		FEV	1999	1.76	1.05	1990	1999-02-01
1999-03	3.314906951666252	2.7984302950692763	MAR	1999	2.88	1.1	1990	1999-03-01
1999-04	2.756348776662243	2.76132226818806	ABR	1999	3.45	0.56	1990	1999-04-01
1999-05	2.0176963403661707	2.023106812064235	MAI	1999	3.76	0.3	1990	1999-05-01
1999-06	1.671743733370601	1.6789448695229359	JUN	1999	3.96	0.19	1990	1999-06-01
1999-07	1.6600659207150148	1.6680042663741457	JUL	1999	5.09	1.09	1990	1999-07-01
1999-08	1.5681433233508013	1.5674013437060763	AGO	1999	5.68	0.56	1990	1999-08-01
1999-09	1.5585108931726266	1.5572623319715762	SET	1999	6.01	0.31	1990	1999-09-01
1999-10	1.452822989552649	1.4601687054440982	OUT	1999	7.27	1.19	1990	1999-10-01
1999-11	1.526232928901261	1.530229915269965	NOV	1999	8.29	0.95	1990	1999-11-01
1999-12	1.5999668057794514	1.6003395044074997	DEZ	1999	8.94	0.6	1990	1999-12-01
2000-01	1.4566481498231587	1.4601687054440982	JAN	2000	0.62	0.62	2000	2000-01-01
2000-02	1.4512323026732332	1.4601687054440982	FEV	2000	0.75	0.13	2000	2000-02-01
2000-03	1.4496032640959777	1.455083102648369	MAR	2000	0.97	0.22	2000	2000-03-01
2000-04	1.3618784301355769	1.356280029762802	ABR	2000	1.4	0.42	2000	2000-04-01
2000-05	1.5624913903756532	1.561302540222509	MAI	2000	1.41	0.01	2000	2000-05-01
2000-06	1.3918722625784197	1.400701664194881	JUN	2000	1.64	0.23	2000	2000-06-01
2000-07	1.3083675472603362	1.3117589824336306	JUL	2000	3.28	1.61	2000	2000-07-01
2000-08	1.4050587774003587	1.4036427794806405	AGO	2000	4.63	1.31	2000	2000-08-01
2000-09	1.2851542498168111	1.2808087081982444	SET	2000	4.87	0.23	2000	2000-09-01
2000-10	1.3485565067060223	1.3422071333708763	OUT	2000	5.02	0.14	2000	2000-10-01
2000-11	1.3430334696097557	1.3422071333708763	NOV	2000	5.35	0.32	2000	2000-11-01
2000-12	1.2570855059773178	1.262640054423625	DEZ	2000	5.97	0.59	2000	2000-12-01
2001-01	1.3248353780643596	1.3264776449023241	JAN	2001	0.57	0.57	2000	2001-01-01
2001-02	1.0154881156744011	1.0189671563309632	FEV	2001	1.03	0.46	2000	2001-02-01
2001-03	1.2585570284095349	1.2589863151839298	MAR	2001	1.42	0.38	2000	2001-03-01
2001-04	1.245606409073563	1.2401649317317132	ABR	2001	2.0	0.58	2000	2001-04-01
2001-05	1.3972714542620501	1.3941232978792684	MAI	2001	2.42	0.41	2000	2001-05-01
2001-06	1.2744501765223237	1.272575676564447	JUN	2001	2.96	0.52	2000	2001-06-01
2001-07	1.4985577261227068	1.497120322192802	JUL	2001	4.32	1.33	2000	2001-07-01
2001-08	1.5991192958740186	1.6003395044074997	AGO	2001	5.06	0.7	2000	2001-08-01
2001-09	1.393569951047069	1.390155841545604	SET	2001	5.35	0.28	2000	2001-09-01
2001-10	1.605115481236763	1.6003395044074997	OUT	2001	6.22	0.83	2000	2001-10-01
2001-11	1.533953466161031	1.530229915269965	NOV	2001	6.98	0.71	2000	2001-11-01
2001-12	1.4637205484081317	1.4601687054440982	DEZ	2001	7.67	0.65	2000	2001-12-01
2002-01	1.6042349989529914	1.6003395044074997	JAN	2002	0.52	0.52	2000	2002-01-01
2002-02	1.2482453886005107	1.2452052781136924	FEV	2002	0.88	0.36	2000	2002-02-01
2002-03	1.4376337064789801	1.4364505615647838	MAR	2002	1.49	0.6	2000	2002-03-01
2002-04	1.4861150575606663	1.492915665050698	ABR	2002	2.3	0.8	2000	2002-04-01
2002-05	1.4759702825937637	1.492915665050698	MAI	2002	2.51	0.21	2000	2002-05-01
2002-06	1.3348975349140701	1.356280029762802	JUN	2002	2.94	0.42	2000	2002-06-01
2002-07	1.5350572088610015	1.5442628855734997	JUL	2002	4.17	1.19	2000	2002-07-01
2002-08	1.4451822553384952	1.4554574381828722	AGO	2002	4.85	0.65	2000	2002-08-01
2002-09	1.380349071877629	1.3888430348411474	SET	2002	5.6	0.72	2000	2002-09-01
2002-10	1.645931426036018	1.6536868276300964	OUT	2002	6.98	1.31	2000	2002-10-01
2002-11	1.6174355595639733	1.6244180017466858	NOV	2002	10.22	3.02	2000	2002-11-01
2002-12	1.8322542047548351	1.8394728273028127	DEZ	2002	12.53	2.1	2000	2002-12-01
2003-01	2.060475386658034	2.0688261569645983	JAN	2003	2.25	2.25	2000	2003-01-01
2003-02	1.8311191546591887	1.8414587864336474	FEV	2003	3.86	1.57	2000	2003-02-01
2003-03	1.77653795775079	1.7881688424113085	MAR	2003	5.13	1.23	2000	2003-03-01
2003-04	2.0607315362513923	2.0734197053619896	ABR	2003	6.15	0.97	2000	2003-04-01
2003-05	2.059609162139564	2.0734197053619896	MAI	2003	6.8	0.61	2000	2003-05-01
2003-06	1.8565482380241916	1.8719561137376495	JUN	2003	6.64	-0.15	2000	2003-06-01
2003-07	2.084895170509138	2.1026386553975707	JUL	2003	6.85	0.2	2000	2003-07-01
